,1.0,2.0,3.0,4.0,5.0,6.0,7.0
1.0,94,40,12,2,1,0,0
2.0,220,184,72,19,5,0,0
3.0,37,56,138,51,14,1,1
4.0,3,6,44,35,14,6,0
5.0,0,1,8,7,18,6,2
6.0,0,0,1,3,2,6,8
7.0,0,0,0,0,0,0,2
