model,accuracy,precision_macro,recall_macro,f1_macro
stacking,0.4262734584450402,0.35865487822420256,0.502086462027018,0.369071629804428
boosting,0.4092940125111707,0.3311856019804987,0.4859461362471909,0.3436210666945173
bagging,0.39946380697050937,0.3296907991450327,0.48838993136404446,0.33979653537160937
