strategy,model,accuracy,precision_macro,recall_macro,f1_macro,cv_splits
stratified_kfold,boosting,0.3932082216264522,0.316736666598172,0.456107808671567,0.3228198048896503,2
stratified_kfold,stacking,0.3914209115281501,0.30936151335092793,0.44285974016750623,0.3200701242145002,2
stratified_kfold,bagging,0.35924932975871315,0.2805302176857415,0.43292336412566523,0.29294134740238853,2
loocv,stacking,0.4262734584450402,0.35865487822420256,0.502086462027018,0.369071629804428,1119
loocv,boosting,0.4092940125111707,0.3311856019804987,0.4859461362471909,0.3436210666945173,1119
loocv,bagging,0.39946380697050937,0.3296907991450327,0.48838993136404446,0.33979653537160937,1119
