model,accuracy,precision_macro,recall_macro,f1_macro
boosting,0.3932082216264522,0.316736666598172,0.456107808671567,0.3228198048896503
stacking,0.3914209115281501,0.30936151335092793,0.44285974016750623,0.3200701242145002
bagging,0.35924932975871315,0.2805302176857415,0.43292336412566523,0.29294134740238853
