codification,accuracy,precision_macro,recall_macro,f1_macro,selected_feature_count,cv_splits
GDS,0.5093833780160858,0.2852447476379162,0.3206553034338269,0.28651898462758324,10,2
GDS_R1,0.8132260947274352,0.5245480564123812,0.68069992426909,0.5652738320711607,10,5
GDS_R2,0.7265415549597856,0.6773579736954695,0.6743558963700863,0.675801561571031,10,5
GDS_R3,0.8596961572832886,0.7441299272694621,0.8338418751995285,0.7744232598928888,10,5
GDS_R4,0.6657730116175157,0.5082917391575151,0.6939321531574243,0.5461797171636911,10,5
GDS_R5,0.6416443252904379,0.5474213268568108,0.6337342954180624,0.5708768357094666,10,5
