,1.0,2.0,3.0,4.0,5.0,6.0,7.0
1.0,92,42,12,1,2,0,0
2.0,221,187,65,21,6,0,0
3.0,32,70,108,72,14,1,1
4.0,2,5,44,33,19,5,0
5.0,0,1,4,16,14,5,2
6.0,0,0,0,4,3,4,9
7.0,0,0,0,0,0,0,2
