,1.0,2.0,3.0,4.0,5.0,6.0,7.0
1.0,87,51,9,1,1,0,0
2.0,216,172,76,30,6,0,0
3.0,33,82,96,67,14,4,2
4.0,3,12,36,29,18,9,1
5.0,0,3,0,19,11,7,2
6.0,0,0,0,3,3,5,9
7.0,0,0,0,0,0,0,2
